Company_Name,Category,Address,Url
Christian Hospital Lawngtlai,Hospital,"Lawngtlai,, Vengpui, Lawngtlai, Mizoram 796891, India",https://www.google.co.kr/maps/place/Christian+Hospital+Lawngtlai/data=!4m5!3m4!1s0x30b2cdad47d4fe7b:0xa8a82b44da18ca81!8m2!3d22.5356206!4d92.8982618?authuser=0&hl=en&rclk=1
Lengpui PHC,Hospital,"RJQM+V57, Lengpui, Mizoram 796410, India",https://www.google.co.kr/maps/place/Lengpui+PHC/data=!4m5!3m4!1s0x374dee0971836481:0x2d48634f11aa9b66!8m2!3d23.8396589!4d92.6329191?authuser=0&hl=en&rclk=1
"District Hospital, Serchhip",Hospital,"8V54+5C2, Serchhip, Mizoram 796181, India","https://www.google.co.kr/maps/place/District+Hospital,+Serchhip/data=!4m5!3m4!1s0x374d0bd53bab8263:0x1619e3d9c8d6c981!8m2!3d23.3078914!4d92.8560138?authuser=0&hl=en&rclk=1"
District Hospital,Hospital,"WF5V+PXW, New Mamit, Mamit, Mizoram 796441, India",https://www.google.co.kr/maps/place/District+Hospital/data=!4m5!3m4!1s0x374df78542eabda9:0x8638b87f18fd313f!8m2!3d23.9093742!4d92.4949516?authuser=0&hl=en&rclk=1
Hospital,Hospital,"6MJG+GMM, Venglai, Kolasib, Mizoram 796081, India",https://www.google.co.kr/maps/place/Hospital/data=!4m5!3m4!1s0x374e0ec710733e3d:0xc31e747ce6236202!8m2!3d24.2313324!4d92.6766701?authuser=0&hl=en&rclk=1
Eye Care Center,Private hospital,"F.Kapsanga Building 2nd floor, Bara Bazar, Dawrpui, Aizawl, Mizoram 796001, India",https://www.google.co.kr/maps/place/Eye+Care+Center/data=!4m5!3m4!1s0x374d94b614ba9ecb:0xf7b2037d1b5c1884!8m2!3d23.729633!4d92.7169859?authuser=0&hl=en&rclk=1
New Life Hospital New Building,Hospital,"PPJ5+F42, Chawnpui Veng, Aizawl, Mizoram 796009, India",https://www.google.co.kr/maps/place/New+Life+Hospital+New+Building/data=!4m5!3m4!1s0x374d9536f3eeea27:0xf0b98ce5fb498816!8m2!3d23.7311443!4d92.7077698?authuser=0&hl=en&rclk=1
Lawngtlai District Hospital,Hospital,"GVPQ+M7F, Chandmary, Lawngtlai, Mizoram 796891, India",https://www.google.co.kr/maps/place/Lawngtlai+District+Hospital/data=!4m5!3m4!1s0x30b2cc50707373df:0xeb25c6db824b2097!8m2!3d22.5366838!4d92.8881812?authuser=0&hl=en&rclk=1
Aizawl Adventist Hospital,Hospital,"PPP5+JQC, 7th Day Tlang, Aizawl, Mizoram 796009, India",https://www.google.co.kr/maps/place/Aizawl+Adventist+Hospital/data=!4m5!3m4!1s0x374d94b261ba9d0f:0x35b2f3439586d4c3!8m2!3d23.736554!4d92.709377?authuser=0&hl=en&rclk=1
ITI Veng Health Sub Centre,Hospital,"PPCJ+2XX, I.T.I Veng, Aizawl, Mizoram 796005, India",https://www.google.co.kr/maps/place/ITI+Veng+Health+Sub+Centre/data=!4m5!3m4!1s0x374d94dc170a8ddf:0x94a1ea96d784994b!8m2!3d23.7201205!4d92.7324857?authuser=0&hl=en&rclk=1
Civil Hospital,Hospital,"1, Hospital Rd, Tlabung, Mizoram 796751, India",https://www.google.co.kr/maps/place/Civil+Hospital/data=!4m5!3m4!1s0x374d5f5cc91be2a5:0xd552a90205ee72d4!8m2!3d22.9064001!4d92.4698639?authuser=0&hl=en&rclk=1
DM Hospital,Hospital,"F8HF+4CG, Vengthlang, Champhai, Mizoram 796321, India",https://www.google.co.kr/maps/place/DM+Hospital/data=!4m5!3m4!1s0x374c5b975443b82d:0xf5703d1239ed4cae!8m2!3d23.4778047!4d93.3235913?authuser=0&hl=en&rclk=1
Falkawn Referal Hospital,Hospital,"Lunglei Rd, Falkawn, Mizoram 796005, India",https://www.google.co.kr/maps/place/Falkawn+Referal+Hospital/data=!4m5!3m4!1s0x374d969a0a5555af:0xfa3c4552d2885dcb!8m2!3d23.6242269!4d92.7287832?authuser=0&hl=en&rclk=1
"Synod Hospital, Durtlang",Hospital,"Durtlang Rd, Zuangtui, Aizawl, Mizoram 796014, India","https://www.google.co.kr/maps/place/Synod+Hospital,+Durtlang/data=!4m5!3m4!1s0x374deb274b645553:0x2423a95edd690973!8m2!3d23.7568784!4d92.7372054?authuser=0&hl=en&rclk=1"
"Public Health Centre, Mualkawi",Hospital,"C88M+V87, Mualkawi, Mizoram 796321, India","https://www.google.co.kr/maps/place/Public+Health+Centre,+Mualkawi/data=!4m5!3m4!1s0x374c59360d9414d5:0x9b30ad28fbbb214f!8m2!3d23.4171698!4d93.3332884?authuser=0&hl=en&rclk=1"
Nazareth Hospital,Hospital,"Helipad Rd, Tumpui, Kolasib, Mizoram 796081, India",https://www.google.co.kr/maps/place/Nazareth+Hospital/data=!4m5!3m4!1s0x374e0ec6ad5aa31b:0x8c7573c9e26f7067!8m2!3d24.2334587!4d92.6741275?authuser=0&hl=en&rclk=1
Kulikawn Hospital,Psychiatric hospital,"PP8F+JPR, Salem Veng, Aizawl, Mizoram 796005, India",https://www.google.co.kr/maps/place/Kulikawn+Hospital/data=!4m5!3m4!1s0x374d95910f55c3eb:0x28839c6116627bd2!8m2!3d23.7166157!4d92.7242714?authuser=0&hl=en&rclk=1
Bawngkawn,Hospital,"Ramhlun N Rd, Chaltlang, Aizawl, Mizoram 796012, India",https://www.google.co.kr/maps/place/Bawngkawn/data=!4m5!3m4!1s0x374deb36c80d8b67:0xafb600f910d13fae!8m2!3d23.7469333!4d92.7226617?authuser=0&hl=en&rclk=1
Blessino Nursing Home,Hospital,"PPC2+XXF, Maubawk, Aizawl, Mizoram 796005, India",https://www.google.co.kr/maps/place/Blessino+Nursing+Home/data=!4m5!3m4!1s0x374d94a6b132d453:0xf797d881a401918f!8m2!3d23.7224423!4d92.7024262?authuser=0&hl=en&rclk=1
HOPE HOSPITAL,Hospital,"Chanmari, Lunglei, Mizoram 796701, India",https://www.google.co.kr/maps/place/HOPE+HOSPITAL/data=!4m5!3m4!1s0x374d40d3b20aebcd:0x8124103940437f26!8m2!3d22.8869115!4d92.7441173?authuser=0&hl=en&rclk=1
AYUSH BUILDING,Hospital,"F8H6+V97, Vengsang, Champhai, Mizoram 796321, India",https://www.google.co.kr/maps/place/AYUSH+BUILDING/data=!4m5!3m4!1s0x374c5ba5219baf0b:0x5af44743bbf79c1e!8m2!3d23.4796629!4d93.3109312?authuser=0&hl=en&rclk=1
Hospital,Hospital,"QMFG+C6X, Aizawl, Mizoram 796009, India",https://www.google.co.kr/maps/place/Hospital/data=!4m5!3m4!1s0x374decedaf6b6e81:0xd9b3a9e335d8be8!8m2!3d23.7736009!4d92.6756212?authuser=0&hl=en&rclk=1
Khawzawl CHC,Hospital,"Hermon Rd, Khawzawl, Mizoram 796310, India",https://www.google.co.kr/maps/place/Khawzawl+CHC/data=!4m5!3m4!1s0x374c51f01abda98d:0x54f24162657c129f!8m2!3d23.5032747!4d93.1964534?authuser=0&hl=en&rclk=1
MIMER,Hospital,"JPFH+MC8, Falkawn, Mizoram 796005, India",https://www.google.co.kr/maps/place/MIMER/data=!4m5!3m4!1s0x374d974e75370629:0x135033f6a0bff94!8m2!3d23.6241737!4d92.7285827?authuser=0&hl=en&rclk=1
John William Hospital,Hospital,"chanmari III,, Lunglei, Mizoram, India",https://www.google.co.kr/maps/place/John+William+Hospital/data=!4m5!3m4!1s0x374d5f5d7373a0f7:0x339a14a293c825f0!8m2!3d22.9093031!4d92.468209?authuser=0&hl=en&rclk=1
Urban Primary Health Centre,Hospital,"Aizawl,, I.T.I Veng, Aizawl, Mizoram 796005, India",https://www.google.co.kr/maps/place/Urban+Primary+Health+Centre/data=!4m5!3m4!1s0x374d94dc19f030d5:0x5c4e24d45ecce6a9!8m2!3d23.7202574!4d92.7326178?authuser=0&hl=en&rclk=1
Rosewood Hospital,Hospital,"Saron Veng - Bungkawn Rd, Aizawl, Mizoram 796001, India",https://www.google.co.kr/maps/place/Rosewood+Hospital/data=!4m5!3m4!1s0x374d9577be655491:0xedc8204a110be7ed!8m2!3d23.7311476!4d92.717897?authuser=0&hl=en&rclk=1
Civil Hospital,Hospital,"west, New Saiha- Saihatlangkawn Rd, Siaha, Mizoram 796901, India",https://www.google.co.kr/maps/place/Civil+Hospital/data=!4m5!3m4!1s0x30b2d1797fc99953:0xc1762c49a22425d3!8m2!3d22.4882688!4d92.9824863?authuser=0&hl=en&rclk=1
CHC,Hospital,"Aizawl - Lunglei Rd, Thenzawl, Mizoram 796181, India",https://www.google.co.kr/maps/place/CHC/data=!4m5!3m4!1s0x374d74b58f2dbff1:0xc1daf7589390d42!8m2!3d23.2892089!4d92.7714441?authuser=0&hl=en&rclk=1
Leprosy Hospital,Hospital,"Chanmari, Tlabung, Mizoram 796751, India",https://www.google.co.kr/maps/place/Leprosy+Hospital/data=!4m5!3m4!1s0x374d5f43f603436d:0x21604be0a3065af3!8m2!3d22.9045964!4d92.4743539?authuser=0&hl=en&rclk=1
"Sub- Centre, Chhiahtlang",Hospital,"Chhiahtlang, Serchhip, Mizoram 796181, India","https://www.google.co.kr/maps/place/Sub-+Centre,+Chhiahtlang/data=!4m5!3m4!1s0x374da0b8f5a48747:0xfb6ba84630f1a80f!8m2!3d23.3787267!4d92.8451129?authuser=0&hl=en&rclk=1"
Public Health Centre,Hospital,"VR59+8WM, Zobawk, Lunglei, Mizoram 796701, India",https://www.google.co.kr/maps/place/Public+Health+Centre/data=!4m5!3m4!1s0x374d39f0973420d9:0xad0c6772a42dfc6f!8m2!3d22.858344!4d92.819809?authuser=0&hl=en&rclk=1
Aizawl District TB Centre,Hospital,"JPFH+V8J, Falkawn, Mizoram 796005, India",https://www.google.co.kr/maps/place/Aizawl+District+TB+Centre/data=!4m5!3m4!1s0x374d968d8a51dd51:0xecc98d46864b3a2b!8m2!3d23.6247005!4d92.7282619?authuser=0&hl=en&rclk=1
District Hospital,Hospital,"G53W+9G2, Khawzawl, Mizoram 796310, India",https://www.google.co.kr/maps/place/District+Hospital/data=!4m5!3m4!1s0x374c51deefe0c0d9:0x5e686b5440330398!8m2!3d23.503388!4d93.196251?authuser=0&hl=en&rclk=1
P H C SAIRANG,Hospital,"Sairang Rd, Sairang, Mizoram 796410, India",https://www.google.co.kr/maps/place/P+H+C+SAIRANG/data=!4m5!3m4!1s0x374dedb687d4620b:0x2ca1b3e0887f794e!8m2!3d23.811675!4d92.6551207?authuser=0&hl=en&rclk=1
